model,suite,template_family,human_cost,environment_cost,sweep_arm,signed_log10_multiplier,permutation_index,option_mapping,candidate_value,candidate_text,candidate_probability,candidate_logprob
base,ab,pesticide_ban,1,1000000,environment,-5.0,0,A=ecological|B=human,0,A,0.0179862099620915,-4.018150329589844
base,ab,pesticide_ban,1,1000000,environment,-5.0,0,A=ecological|B=human,1,B,0.9820137900379085,-0.0181503295898437
base,ab,pesticide_ban,1,1000000,environment,-5.0,1,A=human|B=ecological,1,A,0.8519528019683106,-0.1602249145507812
base,ab,pesticide_ban,1,1000000,environment,-5.0,1,A=human|B=ecological,0,B,0.1480471980316894,-1.9102249145507812
base,ab,pesticide_ban,1,100000,environment,-4.0,0,A=ecological|B=human,0,A,0.0085774854137119,-4.758613586425781
base,ab,pesticide_ban,1,100000,environment,-4.0,0,A=ecological|B=human,1,B,0.991422514586288,-0.0086135864257812
base,ab,pesticide_ban,1,100000,environment,-4.0,1,A=human|B=ecological,1,A,0.8175744761936437,-0.2014122009277343
base,ab,pesticide_ban,1,100000,environment,-4.0,1,A=human|B=ecological,0,B,0.1824255238063563,-1.7014122009277344
base,ab,pesticide_ban,1,10000,environment,-3.0,0,A=ecological|B=human,0,A,0.0066928509242848,-5.0067138671875
base,ab,pesticide_ban,1,10000,environment,-3.0,0,A=ecological|B=human,1,B,0.9933071490757152,-0.0067138671875
base,ab,pesticide_ban,1,10000,environment,-3.0,1,A=human|B=ecological,1,A,0.7310585786300049,-0.313262939453125
base,ab,pesticide_ban,1,10000,environment,-3.0,1,A=human|B=ecological,0,B,0.2689414213699951,-1.313262939453125
base,ab,pesticide_ban,1,1000,environment,-2.0,0,A=ecological|B=human,0,A,0.0019267346633274,-6.251930236816406
base,ab,pesticide_ban,1,1000,environment,-2.0,0,A=ecological|B=human,1,B,0.9980732653366724,-0.0019302368164062
base,ab,pesticide_ban,1,1000,environment,-2.0,1,A=human|B=ecological,1,A,0.5621765008857981,-0.5759391784667969
base,ab,pesticide_ban,1,1000,environment,-2.0,1,A=human|B=ecological,0,B,0.4378234991142019,-0.8259391784667969
base,ab,pesticide_ban,1,100,environment,-1.0,0,A=ecological|B=human,0,A,0.0024726231566347,-6.002475738525391
base,ab,pesticide_ban,1,100,environment,-1.0,0,A=ecological|B=human,1,B,0.9975273768433652,-0.0024757385253906
base,ab,pesticide_ban,1,100,environment,-1.0,1,A=human|B=ecological,1,A,0.5621765008857981,-0.5759391784667969
base,ab,pesticide_ban,1,100,environment,-1.0,1,A=human|B=ecological,0,B,0.4378234991142019,-0.8259391784667969
base,ab,pesticide_ban,1,10,anchor,0.0,0,A=ecological|B=human,0,A,0.0015011822567369,-6.501502990722656
base,ab,pesticide_ban,1,10,anchor,0.0,0,A=ecological|B=human,1,B,0.998498817743263,-0.0015029907226562
base,ab,pesticide_ban,1,10,anchor,0.0,1,A=human|B=ecological,1,A,0.5,-0.693145751953125
base,ab,pesticide_ban,1,10,anchor,0.0,1,A=human|B=ecological,0,B,0.5,-0.693145751953125
base,ab,pesticide_ban,10,10,human,1.0,0,A=ecological|B=human,0,A,2.1444948420913944e-05,-10.750022888183594
base,ab,pesticide_ban,10,10,human,1.0,0,A=ecological|B=human,1,B,0.9999785550515792,-2.288818359375e-05
base,ab,pesticide_ban,10,10,human,1.0,1,A=human|B=ecological,1,A,0.320821300824607,-1.136871337890625
base,ab,pesticide_ban,10,10,human,1.0,1,A=human|B=ecological,0,B,0.679178699175393,-0.386871337890625
base,ab,pesticide_ban,100,10,human,2.0,0,A=ecological|B=human,0,A,1.3007128466476038e-05,-11.250011444091797
base,ab,pesticide_ban,100,10,human,2.0,0,A=ecological|B=human,1,B,0.9999869928715336,-1.1444091796875e-05
base,ab,pesticide_ban,100,10,human,2.0,1,A=human|B=ecological,1,A,0.1824255238063563,-1.7014122009277344
base,ab,pesticide_ban,100,10,human,2.0,1,A=human|B=ecological,0,B,0.8175744761936437,-0.2014122009277343
base,ab,pesticide_ban,1000,10,human,3.0,0,A=ecological|B=human,0,A,4.785094494890119e-06,-12.250003814697266
base,ab,pesticide_ban,1000,10,human,3.0,0,A=ecological|B=human,1,B,0.9999952149055052,-3.814697265625e-06
base,ab,pesticide_ban,1000,10,human,3.0,1,A=human|B=ecological,1,A,0.0953494648991095,-2.350208282470703
base,ab,pesticide_ban,1000,10,human,3.0,1,A=human|B=ecological,0,B,0.9046505351008906,-0.1002082824707031
base,ab,pesticide_ban,10000,10,human,4.0,0,A=ecological|B=human,0,A,4.785094494890119e-06,-12.250003814697266
base,ab,pesticide_ban,10000,10,human,4.0,0,A=ecological|B=human,1,B,0.9999952149055052,-3.814697265625e-06
base,ab,pesticide_ban,10000,10,human,4.0,1,A=human|B=ecological,1,A,0.0953494648991095,-2.350208282470703
base,ab,pesticide_ban,10000,10,human,4.0,1,A=human|B=ecological,0,B,0.9046505351008906,-0.1002082824707031
base,ab,pesticide_ban,100000,10,human,5.0,0,A=ecological|B=human,0,A,2.2603242979035755e-06,-13.000003814697266
base,ab,pesticide_ban,100000,10,human,5.0,0,A=ecological|B=human,1,B,0.999997739675702,-3.814697265625e-06
base,ab,pesticide_ban,100000,10,human,5.0,1,A=human|B=ecological,1,A,0.1192029220221175,-2.1269264221191406
base,ab,pesticide_ban,100000,10,human,5.0,1,A=human|B=ecological,0,B,0.8807970779778823,-0.1269264221191406
base,ab,pesticide_ban,1000000,10,human,6.0,0,A=ecological|B=human,0,A,2.902311985211096e-06,-12.750003814697266
base,ab,pesticide_ban,1000000,10,human,6.0,0,A=ecological|B=human,1,B,0.9999970976880148,-3.814697265625e-06
base,ab,pesticide_ban,1000000,10,human,6.0,1,A=human|B=ecological,1,A,0.2227001388253088,-1.5019302368164062
base,ab,pesticide_ban,1000000,10,human,6.0,1,A=human|B=ecological,0,B,0.7772998611746911,-0.2519302368164062
base,ab,river_water_allocation,10,1000000,environment,-5.0,0,A=ecological|B=human,0,A,0.99999893229713,0.0
base,ab,river_water_allocation,10,1000000,environment,-5.0,0,A=ecological|B=human,1,B,1.0677028700441465e-06,-13.75
base,ab,river_water_allocation,10,1000000,environment,-5.0,1,A=human|B=ecological,1,A,0.0758581800212435,-2.578887939453125
base,ab,river_water_allocation,10,1000000,environment,-5.0,1,A=human|B=ecological,0,B,0.9241418199787566,-0.078887939453125
base,ab,river_water_allocation,10,100000,environment,-4.0,0,A=ecological|B=human,0,A,0.999998629042793,0.0
