model,suite,mean,min,max
llama_instruct,ab_positive_cost,0.9998332875006746,0.9990446344361725,0.999979588198698
llama_instruct,numeric,0.9884583867853056,0.9333421872458393,0.9989533794810899
authors_baseline,ab_positive_cost,0.9939785592966527,0.9905047246060116,0.9962577682750237
authors_baseline,numeric,0.97778030575947,0.964071801832016,0.9867241212711836
qwen3_8b,ab_positive_cost,1.0000001991250709,0.9999982314878538,1.0000017948410354
qwen3_8b,numeric,0.9932160347618271,0.8752093032883844,0.9999873214666828
msm,ab_positive_cost,0.9908005957656218,0.9865450299232118,0.9939518400796996
msm,numeric,0.9528443497922989,0.9357011170043731,0.9638177472844552
aft,ab_positive_cost,0.9938496717754093,0.9904140453410932,0.9967149704356719
aft,numeric,0.9786796152802224,0.9711433245992259,0.9859304290845337
msm_aft,ab_positive_cost,0.9889030694800295,0.9814309418731134,0.9943342778732822
msm_aft,numeric,0.96509517479247,0.9496961343747782,0.97773119308309
